Timestamp,Roll (°),Pitch (°)
2025-03-29 13:59:48,0.36,-1.37
2025-03-29 13:59:48,0.32,-1.25
2025-03-29 13:59:48,0.44,-1.58
2025-03-29 13:59:49,0.22,-1.41
2025-03-29 13:59:49,0.37,-1.31
2025-03-29 13:59:50,0.31,-1.25
2025-03-29 13:59:50,0.44,-1.4
2025-03-29 13:59:51,0.33,-1.38
2025-03-29 13:59:51,0.22,-1.53
2025-03-29 13:59:52,0.39,-1.44
2025-03-29 13:59:52,1.4,-1.5
2025-03-29 13:59:53,0.55,-1.55
2025-03-29 13:59:53,12.32,0.7
2025-03-29 13:59:54,43.86,-3.47
2025-03-29 13:59:54,45.08,-1.6
2025-03-29 13:59:55,44.79,-1.42
2025-03-29 13:59:55,44.32,-1.27
2025-03-29 13:59:56,44.63,-0.48
2025-03-29 13:59:56,45.77,-0.22
2025-03-29 13:59:57,44.99,0.38
2025-03-29 13:59:57,43.86,0.42
2025-03-29 13:59:58,40.93,2.29
2025-03-29 13:59:58,40.53,2.25
2025-03-29 13:59:59,39.07,1.73
2025-03-29 13:59:59,39.36,1.65
2025-03-29 14:00:00,39.24,1.98
2025-03-29 14:00:00,40.33,1.73
2025-03-29 14:00:01,39.72,2.9
2025-03-29 14:00:01,40.9,2.37
2025-03-29 14:00:02,41.34,2.3
2025-03-29 14:00:02,41.5,2.68
2025-03-29 14:00:03,41.15,2.61
2025-03-29 14:00:03,40.79,2.62
2025-03-29 14:00:04,40.96,2.72
2025-03-29 14:00:04,40.76,1.81
2025-03-29 14:00:05,40.14,2.39
2025-03-29 14:00:05,40.72,2.41
2025-03-29 14:00:06,40.11,2.43
