Time(ms),Method,Roll,Pitch
2.0,ACCEL,2.287,-0.532
2.0,GYRO,-2.29,4.158
2.0,COMP,-2.198,4.064
12.0,ACCEL,1.992,-0.342
12.0,GYRO,-2.296,4.165
12.0,COMP,-2.121,3.983
22.0,ACCEL,2.298,-0.902
22.0,GYRO,-2.288,4.174
22.0,COMP,-2.024,3.894
32.0,ACCEL,2.629,-0.478
32.0,GYRO,-2.284,4.186
32.0,COMP,-1.928,3.818
43.0,ACCEL,2.152,-0.499
43.0,GYRO,-2.278,4.201
43.0,COMP,-1.84,3.747
53.0,ACCEL,2.989,-0.637
53.0,GYRO,-2.258,4.219
53.0,COMP,-1.724,3.677
63.0,ACCEL,2.576,-0.436
63.0,GYRO,-2.232,4.235
63.0,COMP,-1.612,3.611
73.0,ACCEL,2.371,-0.541
73.0,GYRO,-2.218,4.249
73.0,COMP,-1.519,3.54
84.0,ACCEL,2.421,-0.453
84.0,GYRO,-2.223,4.256
84.0,COMP,-1.445,3.468
93.0,ACCEL,2.581,-0.593
93.0,GYRO,-2.203,4.265
93.0,COMP,-1.345,3.396
103.0,ACCEL,2.674,-0.322
103.0,GYRO,-2.16,4.277
103.0,COMP,-1.223,3.333
113.0,ACCEL,2.431,-0.54
113.0,GYRO,-2.157,4.291
113.0,COMP,-1.147,3.269
123.0,ACCEL,2.121,-0.383
123.0,GYRO,-2.164,4.305
123.0,COMP,-1.088,3.209
133.0,ACCEL,2.609,-0.759
133.0,GYRO,-2.147,4.312
133.0,COMP,-0.997,3.137
143.0,ACCEL,2.38,-0.428
143.0,GYRO,-2.125,4.321
143.0,COMP,-0.908,3.075
153.0,ACCEL,2.352,-0.261
153.0,GYRO,-2.108,4.324
153.0,COMP,-0.826,3.011
163.0,ACCEL,2.642,-0.382
163.0,GYRO,-2.111,4.328
163.0,COMP,-0.76,2.947
173.0,ACCEL,2.338,-0.414
173.0,GYRO,-2.107,4.324
173.0,COMP,-0.694,2.876
183.0,ACCEL,2.646,-0.575
183.0,GYRO,-2.099,4.325
183.0,COMP,-0.619,2.808
193.0,ACCEL,2.344,-0.542
193.0,GYRO,-2.09,4.327
193.0,COMP,-0.551,2.743
203.0,ACCEL,2.636,-0.427
203.0,GYRO,-2.086,4.329
203.0,COMP,-0.483,2.681
213.0,ACCEL,2.412,-0.423
213.0,GYRO,-2.083,4.328
213.0,COMP,-0.423,2.619
223.0,ACCEL,2.642,-0.407
223.0,GYRO,-2.082,4.324
223.0,COMP,-0.361,2.554
233.0,ACCEL,2.408,-0.198
233.0,GYRO,-2.062,4.324
233.0,COMP,-0.285,2.498
243.0,ACCEL,3.069,-0.423
243.0,GYRO,-2.038,4.324
243.0,COMP,-0.195,2.44
254.0,ACCEL,2.239,-0.219
254.0,GYRO,-1.995,4.317
254.0,COMP,-0.104,2.38
263.0,ACCEL,3.345,-0.943
263.0,GYRO,-1.924,4.316
263.0,COMP,0.034,2.313
273.0,ACCEL,3.666,-0.68
273.0,GYRO,-1.841,4.326
273.0,COMP,0.188,2.263
283.0,ACCEL,1.889,-0.664
283.0,GYRO,-1.778,4.336
283.0,COMP,0.284,2.214
293.0,ACCEL,1.908,-0.518
293.0,GYRO,-1.695,4.345
293.0,COMP,0.398,2.169
303.0,ACCEL,2.546,-0.455
303.0,GYRO,-1.525,4.339
303.0,COMP,0.608,2.11
313.0,ACCEL,2.396,-0.994
313.0,GYRO,-1.236,4.341
313.0,COMP,0.927,2.05
323.0,ACCEL,2.263,0.196
323.0,GYRO,-0.898,4.328
323.0,COMP,1.284,2.0
333.0,ACCEL,2.262,-0.217
333.0,GYRO,-0.507,4.305
333.0,COMP,1.687,1.934
343.0,ACCEL,3.689,-0.34
343.0,GYRO,-0.193,4.275
343.0,COMP,2.035,1.859
353.0,ACCEL,3.838,-0.896
353.0,GYRO,0.014,4.253
353.0,COMP,2.274,1.781
363.0,ACCEL,4.319,-1.003
363.0,GYRO,0.141,4.234
363.0,COMP,2.439,1.707
373.0,ACCEL,4.28,-0.534
373.0,GYRO,0.208,4.229
373.0,COMP,2.542,1.657
384.0,ACCEL,4.514,-0.777
384.0,GYRO,0.22,4.235
384.0,COMP,2.593,1.615
394.0,ACCEL,4.166,-0.534
394.0,GYRO,0.215,4.242
394.0,COMP,2.62,1.579
404.0,ACCEL,3.891,-0.435
404.0,GYRO,0.177,4.245
404.0,COMP,2.608,1.542
414.0,ACCEL,3.587,-0.388
414.0,GYRO,0.173,4.238
414.0,COMP,2.623,1.495
425.0,ACCEL,4.055,-0.472
425.0,GYRO,0.226,4.234
425.0,COMP,2.704,1.453
434.0,ACCEL,4.25,-0.352
434.0,GYRO,0.289,4.223
434.0,COMP,2.797,1.406
444.0,ACCEL,4.01,-0.631
444.0,GYRO,0.399,4.209
444.0,COMP,2.929,1.351
454.0,ACCEL,3.803,-0.619
454.0,GYRO,0.659,4.178
454.0,COMP,3.201,1.282
464.0,ACCEL,4.855,-0.91
464.0,GYRO,0.949,4.151
464.0,COMP,3.519,1.211
474.0,ACCEL,6.338,-1.429
474.0,GYRO,1.124,4.156
474.0,COMP,3.746,1.163
484.0,ACCEL,4.722,-0.519
484.0,GYRO,1.242,4.169
484.0,COMP,3.882,1.142
494.0,ACCEL,4.292,-0.685
494.0,GYRO,1.335,4.178
494.0,COMP,3.981,1.114
504.0,ACCEL,4.717,-0.589
504.0,GYRO,1.353,4.177
504.0,COMP,4.013,1.08
514.0,ACCEL,4.748,-0.651
514.0,GYRO,1.342,4.18
514.0,COMP,4.017,1.048
524.0,ACCEL,5.032,-0.61
524.0,GYRO,1.308,4.168
524.0,COMP,4.004,1.003
534.0,ACCEL,5.129,-0.615
534.0,GYRO,1.263,4.16
534.0,COMP,3.982,0.963
544.0,ACCEL,4.602,-0.601
544.0,GYRO,1.235,4.16
544.0,COMP,3.968,0.931
555.0,ACCEL,5.071,-0.629
555.0,GYRO,1.222,4.166
555.0,COMP,3.976,0.906
565.0,ACCEL,4.672,-0.48
565.0,GYRO,1.214,4.171
565.0,COMP,3.983,0.883
575.0,ACCEL,5.079,-0.445
575.0,GYRO,1.222,4.173
575.0,COMP,4.012,0.859
585.0,ACCEL,5.033,-0.604
585.0,GYRO,1.238,4.172
585.0,COMP,4.049,0.829
596.0,ACCEL,4.758,-0.637
596.0,GYRO,1.271,4.169
596.0,COMP,4.096,0.796
605.0,ACCEL,5.188,-0.633
605.0,GYRO,1.289,4.171
605.0,COMP,4.134,0.77
615.0,ACCEL,4.933,-0.634
615.0,GYRO,1.284,4.18
615.0,COMP,4.146,0.75
625.0,ACCEL,4.982,-0.914
625.0,GYRO,1.262,4.19
625.0,COMP,4.141,0.727
635.0,ACCEL,5.009,-0.835
635.0,GYRO,1.237,4.194
635.0,COMP,4.133,0.7
645.0,ACCEL,4.771,-0.521
645.0,GYRO,1.21,4.195
645.0,COMP,4.12,0.676
655.0,ACCEL,4.717,-0.313
655.0,GYRO,1.184,4.193
655.0,COMP,4.106,0.654
665.0,ACCEL,4.88,-0.617
665.0,GYRO,1.16,4.19
665.0,COMP,4.098,0.626
675.0,ACCEL,4.668,-0.189
675.0,GYRO,1.157,4.189
675.0,COMP,4.107,0.608
685.0,ACCEL,4.787,-0.638
685.0,GYRO,1.179,4.191
685.0,COMP,4.142,0.586
695.0,ACCEL,4.89,-0.847
695.0,GYRO,1.195,4.194
695.0,COMP,4.172,0.56
705.0,ACCEL,4.78,-0.597
705.0,GYRO,1.223,4.199
705.0,COMP,4.212,0.542
715.0,ACCEL,4.978,-0.709
715.0,GYRO,1.302,4.191
715.0,COMP,4.305,0.509
725.0,ACCEL,4.918,-0.736
725.0,GYRO,1.447,4.182
725.0,COMP,4.46,0.475
735.0,ACCEL,5.967,-0.83
735.0,GYRO,1.616,4.162
735.0,COMP,4.656,0.429
745.0,ACCEL,5.682,-0.792
745.0,GYRO,1.864,4.131
745.0,COMP,4.918,0.375
755.0,ACCEL,5.94,-1.033
755.0,GYRO,2.142,4.099
755.0,COMP,5.212,0.316
766.0,ACCEL,3.944,-0.628
766.0,GYRO,2.573,4.032
766.0,COMP,5.608,0.23
775.0,ACCEL,4.31,-1.307
775.0,GYRO,3.449,3.971
775.0,COMP,6.441,0.14
785.0,ACCEL,5.742,-0.616
785.0,GYRO,4.602,3.886
785.0,COMP,7.557,0.042
795.0,ACCEL,7.221,-1.114
795.0,GYRO,5.767,3.73
795.0,COMP,8.692,-0.134
805.0,ACCEL,8.613,-1.152
805.0,GYRO,6.98,3.483
805.0,COMP,9.879,-0.397
815.0,ACCEL,8.225,-2.309
815.0,GYRO,8.381,3.138
815.0,COMP,11.219,-0.773
825.0,ACCEL,10.843,-1.779
825.0,GYRO,10.102,2.696
825.0,COMP,12.898,-1.226
835.0,ACCEL,12.108,-1.812
835.0,GYRO,12.012,2.215
835.0,COMP,14.754,-1.709
845.0,ACCEL,14.016,-1.286
845.0,GYRO,13.902,1.795
845.0,COMP,16.591,-2.113
855.0,ACCEL,17.359,-3.49
855.0,GYRO,15.307,1.497
855.0,COMP,17.984,-2.433
865.0,ACCEL,15.962,-1.897
865.0,GYRO,16.204,1.325
865.0,COMP,18.822,-2.59
